HP Chromebook 14 (US),"14.0"" - 1366x768",AMD A4-9120C,AMD Radeon R4 (Bristol-Ridge),4 GB DDR3,32 GB - EMMC,1.54 Kg / 3.4 lb,Chrome OS,Estimated battery: 13.7 - 14.7 h,2656548,https://noteb.com/res/img/models/thumb/t_2033_1.jpg,V?n ph�ng
Asus VivoBook E410 (US),"14.0"" - 1920x1080",INTEL Celeron N4020,INTEL HD Graphics 600,4 GB DDR4,128 GB - EMMC,1.3 Kg / 2.87 lb,Windows 10 Home,Estimated battery: 10 - 10.7 h,4350402,https://noteb.com/res/img/models/thumb/t_2990_1.jpg,V?n ph�ng
Acer Chromebook CB315 (US),"15.6"" - 1366x768",INTEL Celeron N4000,INTEL HD Graphics 600,4 GB DDR4,32 GB - EMMC,1.9 Kg / 4.19 lb,Chrome OS,Estimated battery: 14.2 - 15.2 h,4618494,https://noteb.com/res/img/models/thumb/t_2366_1.jpg,V?n ph�ng
Acer Chromebook 14 (US),"14.0"" - 1366x768",INTEL Celeron N4000,INTEL HD Graphics 600,4 GB DDR4,64 GB - EMMC,1.7 Kg / 3.75 lb,Chrome OS,Estimated battery: 14 - 15 h,4594122,https://noteb.com/res/img/models/thumb/t_2441_1.jpg,V?n ph�ng
Asus Chromebook 14 (US),"14.0"" - 1920x1080",INTEL Celeron N4020,INTEL HD Graphics 600,4 GB DDR4,128 GB - EMMC,1.51 Kg / 3.33 lb,Chrome OS,Estimated battery: 10 - 10.7 h,4837842,https://noteb.com/res/img/models/thumb/t_3845_1.jpg,V?n ph�ng
HP 14z (US),"14.0"" - 1366x768",AMD Athlon Gold 3150U,AMD Radeon RX Vega 3 (Picasso),4 GB DDR4,128 GB - SSD,1.46 Kg / 3.22 lb,Windows 10 Home,Estimated battery: 8.2 - 8.9 h,4618494,https://noteb.com/res/img/models/thumb/t_2818_1.jpg,M?ng nh?
Asus VivoBook L410 (US),"14.0"" - 1920x1080",INTEL Celeron N4020,INTEL HD Graphics 600,4 GB DDR4,64 GB - EMMC,1.3 Kg / 2.87 lb,Windows 10 Home,Estimated battery: 10 - 10.7 h,4837842,https://noteb.com/res/img/models/thumb/t_2716_1.jpg,V?n ph�ng
Lenovo IdeaPad 1-14 (US),"14.0"" - 1366x768",INTEL Celeron N4020,INTEL HD Graphics 600,4 GB DDR4,64 GB - EMMC,1.4 Kg / 3.09 lb,Windows 11 Home,Estimated battery: 9.4 - 10 h,4179798,https://noteb.com/res/img/models/thumb/t_2587_1.jpg,M?ng nh?
Lenovo IdeaPad 1-15 (US),"15.6"" - 1366x768",AMD Athlon Silver 7120U,AMD Radeon 610M,4 GB DDR5,128 GB - SSD,1.58 Kg / 3.48 lb,Windows 11 Home,Estimated battery: 8.3 - 8.9 h,4874400,https://noteb.com/res/img/models/thumb/t_4405_1.jpg,V?n ph�ng
Lenovo IdeaPad 3 Chromebook 14 (US),"14.0"" - 1366x768",INTEL Celeron N4020,INTEL HD Graphics 600,4 GB DDR4,64 GB - EMMC,1.4 Kg / 3.09 lb,Chrome OS,Estimated battery: 12.3 - 13.2 h,4594122,https://noteb.com/res/img/models/thumb/t_2941_1.jpg,V?n ph�ng
Samsung Chromebook 4 XE350 (US),"15.6"" - 1920x1080",INTEL Celeron N4020,INTEL HD Graphics 600,4 GB DDR4,32 GB - EMMC,1.7 Kg / 3.75 lb,Chrome OS,Estimated battery: 9 - 9.7 h,5239980,https://noteb.com/res/img/models/thumb/t_4153_1.jpg,V?n ph�ng
HP Chromebook 14 (US),"14.0"" - 1366x768",INTEL Celeron N4500,INTEL UHD Graphics 11th gen,4 GB DDR4,32 GB - EMMC,1.54 Kg / 3.4 lb,Chrome OS,Estimated battery: 13.7 - 14.7 h,5800536,https://noteb.com/res/img/models/thumb/t_3636_1.jpg,M?ng nh?
HP Chromebook 14at (US),"14.0"" - 1366x768",INTEL Celeron N4120,INTEL HD Graphics 600,4 GB DDR4,64 GB - EMMC,1.47 Kg / 3.24 lb,Chrome OS,Estimated battery: 13.7 - 14.7 h,5605560,https://noteb.com/res/img/models/thumb/t_3738_1.jpg,V?n ph�ng
HP Chromebook x360 14a (US),"14.0"" - 1366x768",INTEL Celeron N4020,INTEL HD Graphics 600,4 GB DDR4,64 GB - EMMC,1.49 Kg / 3.29 lb,Chrome OS,Estimated battery: 12 - 12.8 h,6068628,https://noteb.com/res/img/models/thumb/t_3272_1.jpg,V?n ph�ng
Lenovo IdeaPad Flex 5 14 (US),"14.0"" - 1920x1080",AMD Ryzen 3 5300U,AMD Radeon RX Vega 6 (Cezanne),4 GB DDR4,128 GB - SSD,1.53 Kg / 3.38 lb,Windows 10 Home,Estimated battery: 6.8 - 7.3 h,7677180,https://noteb.com/res/img/models/thumb/t_3396_1.jpg,V?n ph�ng
Chuwi GemiBook X (US),"15.6"" - 1920x1080",INTEL Celeron N5100,INTEL UHD Graphics 11th gen,4 GB DDR4,128 GB - SSD,1.73 Kg / 3.81 lb,Windows 10 Home,Estimated battery: 8.4 - 9 h,6543882,https://noteb.com/res/img/models/thumb/t_3825_1.jpg,V?n ph�ng
Asus VivoBook L510 (US),"15.6"" - 1920x1080",INTEL Celeron N4020,INTEL HD Graphics 600,4 GB DDR4,128 GB - EMMC,1.63 Kg / 3.59 lb,Windows 10 Home,Estimated battery: 9.7 - 10.5 h,6068628,https://noteb.com/res/img/models/thumb/t_3150_1.jpg,V?n ph�ng
HP Stream 14 (US),"14.0"" - 1366x768",INTEL Celeron N4020,INTEL HD Graphics 600,4 GB DDR4,64 GB - EMMC,1.44 Kg / 3.17 lb,Windows 10 Home,Estimated battery: 12 - 12.9 h,6068628,https://noteb.com/res/img/models/thumb/t_1552_1.jpg,M?ng nh?
Acer Aspire 3 15 (US),"15.6"" - 1920x1080",AMD Ryzen 3 7320U,AMD Radeon 610M,8 GB DDR5,128 GB - SSD,1.78 Kg / 3.92 lb,Windows 11 Home,Estimated battery: 6.8 - 7.3 h,7311600,https://noteb.com/res/img/models/thumb/t_4441_1.jpg,Gaming
MSI Gaming Katana GF66 (US),"15.6"" - 1920x1080",INTEL i5-11400H,NVIDIA GeForce RTX 3050 60W,16 GB DDR4,512 GB - SSD,2.1 Kg / 4.63 lb,Windows 11 Home,Estimated battery: 4.6 - 4.9 h,19497600,https://asset-us-store.msi.com/image/cache/catalog/WINDOW11WALL/Katana-GF66-11UX-1024x1024.png,Gaming
LG gram 14 (US),"14.0"" - 1920x1200",INTEL i7-1260P,INTEL Iris Xe G7 96 EU,16 GB DDR5,512 GB - SSD,1 Kg / 2.2 lb,Windows 11 Home,Estimated battery: 9.2 - 9.9 h,21191454,https://laptop88.vn/media/lib/22-04-2023/lggram14i7man.jpg,M?ng nh?
Dell Gaming G15 (US),"15.6"" - 1920x1080",AMD Ryzen 5 5600H,NVIDIA GeForce RTX 3050 95W,8 GB DDR4,256 GB - SSD,2.81 Kg / 6.19 lb,Windows 10 Home,Estimated battery: 5.9 - 6.3 h,20301876,"https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/notebooks/g-series/g15-5520/media-gallery/g15-5520-bk-coralkb/notebook-g-15-5520-gallery-1.psd?fmt=pjpg&pscan=auto&scl=1&wid=4055&hei=3565&qlt=100,1&resMode=sharp2&size=4055,3565&chrss=full&imwidth=5000",Gaming
MSI Gaming GF63 (US),"15.6"" - 1920x1080",INTEL i7-12650H,NVIDIA GeForce RTX 4050 45W,16 GB DDR4,512 GB - SSD,1.86 Kg / 4.1 lb,Windows 11 Home,Estimated battery: 3.2 - 3.4 h,21800754,https://m.media-amazon.com/images/I/51YCsXT4Y-L.jpg,Gaming
HP EliteBook 845 (US),"14.0"" - 1920x1200",AMD Ryzen 5 PRO 6650U,AMD Radeon 660M,16 GB DDR5,512 GB - SSD,1.4 Kg / 3.09 lb,Windows 10 Pro,Estimated battery: 6.5 - 7 h,18754254,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08160974.png,V?n ph�ng
Lenovo ThinkPad T16 (US),"16.0"" - 1920x1200",AMD Ryzen 5 PRO 6650U,AMD Radeon 660M,16 GB DDR5,256 GB - SSD,1.68 Kg / 3.7 lb,Windows 10 Pro,Estimated battery: 10.8 - 11.6 h,20898990,https://p4-ofp.static.pub/ShareResource/na/products/thinkpad/400x300/lenovo-thinkpad-t16-gen1-amd.png,V?n ph�ng
Acer Aspire 5 14 (US),"14.0"" - 1920x1080",INTEL i5-1235U,INTEL Iris Xe 80 EU,8 GB DDR4,512 GB - SSD,1.49 Kg / 3.28 lb,Windows 11 Home,Estimated battery: 4.3 - 4.6 h,14026086,https://m.media-amazon.com/images/I/61frgLaqjKL.jpg,M?ng nh?
HP EliteBook 645 (US),"14.0"" - 1920x1080",AMD Ryzen 5 PRO 5675U,AMD Radeon RX Vega 7 (Cezanne),16 GB DDR4,512 GB - SSD,1.37 Kg / 3.03 lb,Windows 11 Pro,Estimated battery: 8.9 - 9.5 h,19461042,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08459738.png,V?n ph�ng
Lenovo V14 (US),"14.0"" - 1920x1080",AMD Ryzen 3 5425U,AMD Radeon RX Vega 6 (Cezanne),8 GB DDR4,256 GB - SSD,1.43 Kg / 3.15 lb,Windows 11 Home,Estimated battery: 6.6 - 7.1 h,14720688,https://p1-ofp.static.pub/medias/24165952843_LenovoV14Gen3ABABlackforTextureIMG_202201050201591666481003253.png,M?ng nh?
MSI Cyborg 15 (US),"15.6"" - 1920x1080",INTEL i5-12450H,NVIDIA GeForce RTX 4050 45W,16 GB DDR5,512 GB - SSD,1.98 Kg / 4.37 lb,Windows 11 Home,Estimated battery: 3.3 - 3.6 h,21167082,https://m.media-amazon.com/images/I/81qv4biJ5dL.jpg,Gaming
Asus ROG Strix G15 (US),"15.6"" - 1920x1080",INTEL i7-10870H,NVIDIA GeForce RTX 2060,16 GB DDR4,512 GB - SSD,2.34 Kg / 5.17 lb,Windows 10 Home,Estimated battery: 5 - 5.3 h,21934800,https://dlcdnwebimgs.asus.com/gain/A96277F2-9062-45A7-8808-2C0C15E01813,Gaming
Dell Inspiron 16 (US),"16.0"" - 1920x1200",AMD Ryzen 7 5825U,AMD Radeon RX Vega 8 (Cezanne),16 GB DDR4,1024 GB - SSD,1.87 Kg / 4.12 lb,Windows 11 Home,Estimated battery: 6.1 - 6.6 h,19461042,"https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/notebooks/inspiron-notebooks/16-5620/media-gallery/notebook-inspiron-16-5620-2-in-1-gy-fpr-gallery-2.psd?fmt=pjpg&pscan=auto&scl=1&wid=4300&hei=3456&qlt=100,1&resMode=sharp2&size=4300,3456&chrss=full&imwidth=5000",V?n ph�ng
Dell Inspiron 16 2-in-1 (US),"16.0"" - 1920x1200",INTEL i7-1260P,INTEL Iris Xe G7 96 EU,16 GB DDR4,512 GB - SSD,2.06 Kg / 4.54 lb,Windows 11 Pro,Estimated battery: 7.4 - 8 h,20704014,"https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/notebooks/inspiron-notebooks/16-7620-2n1/pdp/laptop-inspiron-16-2n1-7620-pdp-hero.psd?qlt=95&fit=constrain,1&hei=400&wid=570&fmt=jpg","?? ho?, k? thu?t"
Lenovo V15 (US),"15.6"" - 1920x1080",AMD Ryzen 5 5625U,AMD Radeon RX Vega 7 (Cezanne),8 GB DDR4,256 GB - SSD,1.7 Kg / 3.75 lb,Windows 11 Pro,Estimated battery: 6.5 - 7 h,15622452,https://laymengcomputer.com/wp-content/uploads/2022/10/lenovo-v15.jpg,V?n ph�ng
Dell Latitude 14 9420 (US),"14.0"" - 1920x1200",INTEL i7-1185G7,INTEL Iris Xe G7 96 EU,16 GB DDR4,512 GB - SSD,1.4 Kg / 3.09 lb,Windows 10 Pro,Estimated battery: 5.1 - 5.5 h,21898242,"https://i.dell.com/is/image/DellContent//content/dam/ss2/product-images/dell-client-products/notebooks/latitude-notebooks/latitude-14-9420/media-gallery/new/laptop_latitude_14_9420t_2_in_1_gallery_2.psd?fmt=pjpg&pscan=auto&scl=1&hei=402&wid=488&qlt=100,1&resMode=sharp2&size=488,402&chrss=full",M?ng nh?
Gigabyte G5 (US),"15.6"" - 1920x1080",INTEL i5-11400H,NVIDIA GeForce RTX 3060 105W,16 GB DDR4,512 GB - SSD,2.2 Kg / 4.85 lb,Windows 10 Home,Estimated battery: 4.2 - 4.5 h,22178520,"https://m.media-amazon.com/images/I/71dwPztbmGS._AC_UF894,1000_QL80_.jpg",Gaming
