Name;Screen;CPU;VGA;RAM;SSD;Weight;OS;Battery;Price;Img;Label
HP Chromebook 14;"14.0"" - 1366x768";AMD A4-9120C;AMD Radeon R4 (Bristol-Ridge);4 GB DDR3;32 GB - EMMC;1.54 Kg ;Chrome OS;13.7;2656548;https://noteb.com/res/img/models/thumb/t_2033_1.jpg;Văn phòng
Asus VivoBook E410;"14.0"" - 1920x1080";INTEL Celeron N4020;INTEL HD Graphics 600;4 GB DDR4;128 GB - EMMC;1.3 Kg ;Windows 10 Home;10;4350402;https://noteb.com/res/img/models/thumb/t_2990_1.jpg;Mỏng nhẹ
Acer Chromebook CB315;"15.6"" - 1366x768";INTEL Celeron N4000;INTEL HD Graphics 600;4 GB DDR4;32 GB - EMMC;1.9 Kg ;Chrome OS;14.2;4618494;https://noteb.com/res/img/models/thumb/t_2366_1.jpg;Văn phòng
Acer Chromebook 14;"14.0"" - 1366x768";INTEL Celeron N4000;INTEL HD Graphics 600;4 GB DDR4;64 GB - EMMC;1.7 Kg ;Chrome OS;14;4594122;https://noteb.com/res/img/models/thumb/t_2441_1.jpg;Văn phòng
Asus Chromebook 14;"14.0"" - 1920x1080";INTEL Celeron N4020;INTEL HD Graphics 600;4 GB DDR4;128 GB - EMMC;1.51 Kg ;Chrome OS;10;4837842;https://noteb.com/res/img/models/thumb/t_3845_1.jpg;Văn phòng
HP  14z;"14.0"" - 1366x768";AMD Athlon Gold 3150U;AMD Radeon RX Vega 3 (Picasso);4 GB DDR4;128 GB - SSD;1.46 Kg ;Windows 10 Home;8.2;4618494;https://noteb.com/res/img/models/thumb/t_2818_1.jpg;Mỏng nhẹ
Asus VivoBook L410;"14.0"" - 1920x1080";INTEL Celeron N4020;INTEL HD Graphics 600;4 GB DDR4;64 GB - EMMC;1.3 Kg ;Windows 10 Home;10;4837842;https://noteb.com/res/img/models/thumb/t_2716_1.jpg;Mỏng nhẹ
Lenovo IdeaPad 1-14;"14.0"" - 1366x768";INTEL Celeron N4020;INTEL HD Graphics 600;4 GB DDR4;64 GB - EMMC;1.4 Kg ;Windows 11 Home;9.4;4179798;https://noteb.com/res/img/models/thumb/t_2587_1.jpg;Mỏng nhẹ
Lenovo IdeaPad 1-15;"15.6"" - 1366x768";AMD Athlon Silver 7120U;AMD Radeon 610M;4 GB DDR5;128 GB - SSD;1.58 Kg ;Windows 11 Home;8.3;4874400;https://noteb.com/res/img/models/thumb/t_4405_1.jpg;Văn phòng
Lenovo IdeaPad 3 Chromebook 14;"14.0"" - 1366x768";INTEL Celeron N4020;INTEL HD Graphics 600;4 GB DDR4;64 GB - EMMC;1.4 Kg ;Chrome OS;12.3;4594122;https://noteb.com/res/img/models/thumb/t_2941_1.jpg;Mỏng nhẹ
